CSTASK (Asunto),CSTASK (Descripcion)
Desconciliación  - TDC,"Cordial saludo, solicito su amable colaboración con el servicio ► PRODUCTID: CAI_ONT42000120202607060921553962223079, no coinciden las vias asignadas en los sistemas, a continuacion se muestran las vias con las que se encuentra configurado en la OLT.

► OLT: 10.37.53.78 - OH_SANALPSTC_I_7360_Piedecuesta_3
► SLOT: 15
► PORT: 10
► ONUID: 35
► PASSWORD: 9U7V0CQVD8
► VLAN: 2032:1934

servicio configurado en la ► OLT: 10.37.53.78 - OH_SANALPSTC_I_7360_Piedecuesta_3 ► 15/10/35 por favor validar"
Desconciliación Correspondencia  - TDC,"Cordial saludo, solicito su amable colaboración con el servicio ► PRODUCTID: CAI_ONT42000120202607060921553962223079, no coinciden las vias asignadas con la tabla de correspondencia, a continuación, se muestran las vias con las que se encuentra configurado en la OLT y que deberían estar en los recursos asignados.

► OLT: 10.37.53.78 - OH_SANALPSTC_I_7360_Piedecuesta_3
► SLOT: 15 ◄ requiere corrección en BP
► PORT: 10
► ONUID: 35
► PASSWORD: 9U7V0CQVD8
► VLAN: 2032:1934

servicio configurado en la ► OLT: 10.37.53.78 - OH_SANALPSTC_I_7360_Piedecuesta_3 ► 15/10/35 por favor validar, servicio activo con MAC"
Actualizacion Perfil - TDC,"► PRODUCTID: CAI_ONT42000120202607060921553962223079 ► ACTUALIZACION PERFIL
Cordial saludo, se solicita su apoyo para actualizar perfil ► PRODUCTID: CAI_ONT42000120202607060921553962223079
en los sistemas se encuentraSpeedy_500M se requiere actualizacion a perfil Speedy_500M"
Actualizacion Recursos Cambio CT - TDC,"► SERVICIO: CAI_ONT42000120202607060921553962223079 ► ACTUALIZACION RECURSOS CAMBIO DE CT 
Cordial saludo, Se realiza cambio de CT solicitado por el VNO por ende los recursos requieren ser actualizados en todos los sistemas ... por favor regularizar los recursos de la siguiente manera.

► OLT: 10.37.53.78 - OH_SANALPSTC_I_7360_Piedecuesta_3 },
► SLOT: 15
► PUERTO: 10
► ONUID: 35 (Sugerida)
► CT: PIEDE-PC2-99-07
► PASSWORD: 9U7V0CQVD8
► VLAN: 2032:1934

Recursos actualizados no configurados en la OLT"
TCO000000 - FALLA CORRESPONDENCIA - ► OLT: 10.37.53.78 - OH_SANALPSTC_I_7360_Piedecuesta_3 ► 15/10/35 ► PIEDE-PC2-99-07,"Cordial saludo, se evidencia intento de sincronismo en las vías 15/10▼ de la HGU 9U7V0CQVD8, debería estar en el 15/10 según las vías asignadas por los sistemas, las pruebas se realizarán sobre la CTO PIEDE-PC2-99-07
► PRODUCTID: CAI_ONT42000120202607060921553962223079
► ACCESID: c84f6b2f-7bde-11f1-823a-37f73621a399

llamar a los números de HELPDESK_ONNET...

HELDESK 	3155668907
Juan Viasus	3178630536
Yiseth Leon	3175047560
Neyder Bolaño	3158221052
Harold Molina	3242647189
Yeison Castillo	3189873795
Faber Morales	3189589883

Por favor llevar HGU de prueba, por favor validar si se requieren permisos para validar la CT."
Actualizacion Serial - TDC,"Cordial saludo, por favor su ayuda con el servicio CAI_ONT42000120202607060921553962223079, se solicita actualizacion de Password por solicitud del VNO en todas las plataformas
Serial Actualizado ► 9U7V0CQVD8

Ya se encuentra configurado en ...
► OLT: 10.37.53.78 - OH_SANALPSTC_I_7360_Piedecuesta_3
► SLOT: 15
► PORT: 10
► ONUID: 35
"
Error ''701'' en Beesion - TDC,"Cordial saludo, solicito su amable colaboración con el servicio CAI_ONT42000120202607060921553962223079 (servicio Activo Beesion), se presenta Error 701 al realizar consulta ''Extended Detail'' en Beesion."
Error ''702'' en Beesion - TDC,"Cordial saludo, solicito su amable colaboración con el servicio CAI_ONT42000120202607060921553962223079 (servicio Activo Beesion), se presenta Error 702 al realizar consulta ''Extended Detail'' en Beesion."
Estado Terminated - TDC,"Cordial saludo, solicito su amable colaboración con el servicio CAI_ONT42000120202607060921553962223079 estado ''Terminated'' en Beesion (sin ''Delete'' en ''Detail''), no aparece en BluePlanet y no se observa solicitud de Baja en SOM."
Solicitud Validacion Disponibilidad Puertos OLT - TDC,"Cordial saludo, en la ► OLT: 10.37.53.78 - OH_SANALPSTC_I_7360_Piedecuesta_3 ► SLOT: 15 ► PORT: 10

Por favor revisar la ocupación y liberar posiciones Libres...

De acuerdo a OLT :27,41
De acuerdo a 3GIS : 0"
